"","unique.ger_neut...1.."
"534","Erinnerungsbild"
"535","Erinnerungsvermoegen"
"536","Erlebnis"
"537","Ermessen"
"538","Ermittlungsverfahren"
"539","Erntedankfest"
"540","Ersatzteil"
"541","Erscheinungsbild"
"542","Erstaunen"
"543","Erstgeburtsrecht"
"544","Ersuchen"
"545","Ertraegnis"
"546","Ertrinken"
"547","Erwachsensein"
"548","Erwarten"
"549","Erz"
"550","Erzeugnis"
"551","Erzgebirge"
"552","Erziehungsheim"
"553","Es"
"554","Eselsohr"
"555","Essen"
"556","Essgeschirr"
"557","Esszimmer"
"558","Ethos"
"559","Etwas"
"560","Euter"
"561","Evangelienbuch"
"562","Evangelium"
"563","Exemplar"
"564","Existenzminimum"
"565","Extrem"
"566","F"
"567","Fabeltier"
"568","Fabrikat"
"569","Fach"
"570","Fachbuch"
"571","Fachgebiet"
"572","Fachgeschaeft"
"573","Fachwerk"
"574","Fachwerkhaus"
"575","Faehnchen"
"576","Faehrschiff"
"577","Fahrrad"
"578","Fahrwasser"
"579","Fahrzeug"
"580","Fall"
"581","Fallbeil"
"582","Fallobst"
"583","Falsch"
"584","Falschgeld"
"585","Farbband"
"586","Farbfernsehen"
"587","Farnkraut"
"588","Fass"
"589","Fassbier"
"590","Fassungsvermoegen"
"591","Faultier"
"592","Federbett"
"593","Federgewicht"
"594","Federkleid"
"595","Federlesen"
"596","Federvieh"
"597","Fegefeuer"
"598","Fehlurteil"
"599","Feigenblatt"
"600","Feingefuehl"
"601","Feingold"
"602","Feld"
"603","Fell"
"604","Fenster"
"605","Fensterglas"
"606","Ferienhaus"
"607","Ferienheim"
"608","Ferkel"
"609","Ferngespraech"
"610","Fernrohr"
"611","Fernsehen"
"612","Fernsehinterview"
"613","Fernsprechamt"
"614","Fernweh"
"615","Fersengeld"
"616","Fertighaus"
"617","Festessen"
"618","Festgewand"
"619","Festland"
"620","Festmahl"
"621","Festspiel"
"622","Festzelt"
"623","Fett"
"624","Fettpolster"
"625","Fetzchen"
"626","Feudalsystem"
"627","Feuer"
"628","Feuerwerk"
"629","Feuerzeug"
"630","Fichtenholz"
"631","Fieberthermometer"
"632","Filmarchiv"
"633","Filmfestival"
"634","Filmstudio"
"635","Finale"
"636","Finanzamt"
"637","Fingerglied"
"638","Fingerspitzengefuehl"
"639","Fischchen"
"640","Fischerboot"
"641","Fischerdorf"
"642","Fischgericht"
"643","Fischgeschaeft"
"644","Fischgraetenmuster"
"645","Fischmehl"
"646","Flach"
"647","Flachland"
"648","Flaeschchen"
"649","Flaschenbier"
"650","Flechtwerk"
"651","Fleckchen"
"652","Fleisch"
"653","Fleischgericht"
"654","Fliegengewicht"
"655","Fliessband"
"656","Floss"
"657","Fluechtlingslager"
"658","Flugblatt"
"659","Flugzeug"
"660","Fluor"
"661","Flusspferd"
"662","Flussufer"
"663","Foerderband"
"664","Fohlen"
"665","Format"
"666","Formular"
"667","Forschungsergebnis"
"668","Forschungsinstitut"
"669","Forschungsprojekt"
"670","Forschungszentrum"
"671","Forstamt"
"672","Forstrevier"
"673","Fortkommen"
"674","Forum"
"675","Fossil"
"676","Foto"
"677","Fotoalbum"
"678","Fotomodell"
"679","Frachtgut"
"680","Frachtschiff"
"681","Fraeulein"
"682","Fragewort"
"683","Fragezeichen"
"684","Franzoesisch"
"685","Frauenzimmer"
"686","Freibad"
"687","Freibier"
"688","Freiwild"
"689","Fremdwort"
"690","Freudenmaedchen"
"691","Fruechtchen"
"692","Fruehjahr"
"693","Fruehstueck"
"694","Fuehlhorn"
"695","Fuenftel"
"696","Fuerstentum"
"697","Fuhrwerk"
"698","Fundbuero"
"699","Furioso"
"700","Fussvolk"
"701","Futter"
"702","Futtermittel"
"703","Futurum"
"704","G"
"705","Gaengelband"
"706","Gaenschen"
"707","Gaensebluemchen"
"708","Gaertchen"
"709","Gaesschen"
"710","Gaestezimmer"
"711","Galopprennen"
"712","Gamma"
"713","Ganzleinen"
"714","Garn"
"715","Gas"
"716","Gaspedal"
"717","Gasthaus"
"718","Gastspiel"
"719","Gebaeck"
"720","Gebaelk"
"721","Gebaeude"
"722","Gebein"
"723","Gebell"
"724","Gebet"
"725","Gebetbuch"
"726","Gebiet"
"727","Gebilde"
"728","Gebinde"
"729","Gebirge"
"730","Gebiss"
"731","Geblaese"
"732","Gebot"
"733","Gebraeu"
"734","Gebrech"
"735","Gebruell"
"736","Gebuesch"
"737","Geburtsdatum"
"738","Geburtsjahr"
"739","Gedaechtnis"
"740","Gedaerm"
"741","Gedicht"
"742","Gedraenge"
"743","Gedroehn"
"744","Gefaehrt"
"745","Gefaengnis"
"746","Gefaess"
"747","Gefecht"
"748","Gefieder"
"749","Geflecht"
"750","Gefluegel"
"751","Gefolge"
"752","Gefuege"
"753","Gefuehl"
"754","Gegengewicht"
"755","Gegenstueck"
"756","Gegenteil"
"757","Gegenueber"
"758","Gehabe"
"759","Gehaben"
"760","Gehaemmer"
"761","Gehaenge"
"762","Gehaeuse"
"763","Gehalt"
"764","Gehege"
"765","Geheimnis"
"766","Geheiss"
"767","Gehen"
"768","Geheul"
"769","Gehirn"
"770","Gehoeft"
"771","Gehoelz"
"772","Gehoer"
"773","Geisseltierchen"
"774","Gejammer"
"775","Gejohle"
"776","Gekicher"
"777","Geklimper"
"778","Geklirr"
