"","unique.ger_masc...1.."
"436","Augenwinkel"
"437","Augenzeuge"
"438","Augenzeugenbericht"
"439","Augur"
"440","August"
"441","Auktionator"
"442","Ausbau"
"443","Ausbeuter"
"444","Ausbilder"
"445","Ausblick"
"446","Ausbrecher"
"447","Ausbruch"
"448","Ausbund"
"449","Ausdruck"
"450","Ausfall"
"451","Ausfluegler"
"452","Ausflugsort"
"453","Ausflugsverkehr"
"454","Ausfluss"
"455","Ausgang"
"456","Ausgangspunkt"
"457","Ausgleich"
"458","Ausgleichsfonds"
"459","Ausgleichssport"
"460","Ausgraeber"
"461","Ausguck"
"462","Ausguss"
"463","Aushang"
"464","Aushub"
"465","Auslaender"
"466","Auslaeufer"
"467","Auslandskorrespondent"
"468","Auslauf"
"469","Ausleger"
"470","Ausloeser"
"471","Ausnahmefall"
"472","Ausnahmezustand"
"473","Auspuff"
"474","Ausreisser"
"475","Ausrichter"
"476","Ausruester"
"477","Ausruf"
"478","Ausrufer"
"479","Ausrutscher"
"480","Aussagewert"
"481","Aussatz"
"482","Ausschank"
"483","Ausscheidungskampf"
"484","Ausschlag"
"485","Ausschluss"
"486","Ausschnitt"
"487","Ausschuss"
"488","Aussenbezirk"
"489","Aussendienst"
"490","Aussenhandel"
"491","Aussenminister"
"492","Aussenseiter"
"493","Aussenstuermer"
"494","Aussichtspunkt"
"495","Aussichtsturm"
"496","Ausspann"
"497","Ausspruch"
"498","Ausstand"
"499","Aussteller"
"500","Ausstellungsstand"
"501","Ausstellungstag"
"502","Ausstieg"
"503","Ausstoss"
"504","Austausch"
"505","Austauschmotor"
"506","Austauschschueler"
"507","Austauschstudent"
"508","Austrag"
"509","Australier"
"510","Austritt"
"511","Ausverkauf"
"512","Auswahlspieler"
"513","Auswanderer"
"514","Ausweg"
"515","Ausweis"
"516","Auswurf"
"517","Ausziehtisch"
"518","Auszug"
"519","Autobus"
"520","Autochthone"
"521","Autogrammjaeger"
"522","Automatismus"
"523","Automobilbau"
"524","Automobilist"
"525","Automobilklub"
"526","Autor"
"527","Autoschlosser"
"528","Autoscooter"
"529","Autoverkehr"
"530","Avantgardist"
"531","Azur"
"532","Bach"
"533","Back"
"534","Backfisch"
"535","Backofen"
"536","Backstein"
"537","Badeanzug"
"538","Bademantel"
"539","Bademeister"
"540","Badeort"
"541","Bader"
"542","Baedeker"
"543","Baer"
"544","Baerendienst"
"545","Bagger"
"546","Bahnbrecher"
"547","Bahnhof"
"548","Bahnsteig"
"549","Bahnwaerter"
"550","Balg"
"551","Balken"
"552","Balkon"
"553","Ball"
"554","Ballast"
"555","Balljunge"
"556","Ballon"
"557","Band"
"558","Bandagist"
"559","Bandwurm"
"560","Banker"
"561","Bankrotteur"
"562","Bann"
"563","Banner"
"564","Bannfluch"
"565","Bannkreis"
"566","Baptist"
"567","Barbar"
"568","Barbier"
"569","Barde"
"570","Barmann"
"571","Baron"
"572","Barren"
"573","Barsch"
"574","Bart"
"575","Bartwuchs"
"576","Basalt"
"577","Basar"
"578","Bassist"
"579","Bast"
"580","Bastler"
"581","Batzen"
"582","Bau"
"583","Bauarbeiter"
"584","Bauch"
"585","Bauchnabel"
"586","Bauchschmerz"
"587","Bauentwurf"
"588","Bauer"
"589","Bauernbursche"
"590","Bauernhof"
"591","Bauernkrieg"
"592","Bauernstand"
"593","Baufuehrer"
"594","Bauherr"
"595","Baukasten"
"596","Bauklotz"
"597","Baukostenzuschuss"
"598","Baum"
"599","Baumeister"
"600","Baumfarn"
"601","Baumstamm"
"602","Baumwipfel"
"603","Bauplan"
"604","Bauplatz"
"605","Baurat"
"606","Bausch"
"607","Bausparvertrag"
"608","Baustein"
"609","Baustil"
"610","Baustoff"
"611","Bauunternehmer"
"612","Bazillus"
"613","Beamte"
"614","Beat"
"615","Beauftragte"
"616","Becher"
"617","Bedacht"
"618","Bedarf"
"619","Bedarfsartikel"
"620","Bedeutungswandel"
"621","Bediener"
"622","Befaehigungsnachweis"
"623","Befall"
"624","Befehl"
"625","Befehlsempfaenger"
"626","Befehlshaber"
"627","Befoerderungstarif"
"628","Befrachter"
"629","Befreier"
"630","Befreiungskampf"
"631","Befuerworter"
"632","Befund"
"633","Begeisterungssturm"
"634","Beginn"
"635","Begleiter"
"636","Begriff"
"637","Begruender"
"638","Behaelter"
"639","Behelf"
"640","Beherrscher"
"641","Beichtstuhl"
"642","Beifahrer"
"643","Beifall"
"644","Beifallssturm"
"645","Beigeschmack"
"646","Beiklang"
"647","Beiname"
"648","Beinbruch"
"649","Beirat"
"650","Beischlaf"
"651","Beischlag"
"652","Beistand"
"653","Beitrag"
"654","Beitritt"
"655","Beiwagen"
"656","Bekanntenkreis"
"657","Bekehrer"
"658","Belag"
"659","Belagerungszustand"
"660","Belang"
"661","Beleg"
"662","Belichtungsmesser"
"663","Bengel"
"664","Benuetzer"
"665","Benutzer"
"666","Benzinkanister"
"667","Benzinpreis"
"668","Benzintank"
"669","Berater"
"670","Bereich"
"671","Bereiter"
"672","Berg"
"673","Bergarbeiter"
"674","Bergbau"
"675","Bergfuehrer"
"676","Bergkristall"
"677","Bergmann"
"678","Bergsee"
"679","Bericht"
"680","Berichterstatter"
"681","Beruf"
"682","Berufsberater"
"683","Beschauer"
"684","Bescheid"
"685","Beschlag"
"686","Beschluss"
"687","Beschuss"
"688","Beschwoerer"
"689","Besen"
"690","Besenstiel"
"691","Besitz"
"692","Besitzer"
"693","Besserwisser"
"694","Bestand"
"695","Bestandteil"
"696","Bestimmungshafen"
"697","Besuch"
"698","Besucher"
"699","Beton"
"700","Betracht"
"701","Betrag"
"702","Betrieb"
"703","Betrug"
"704","Bettler"
"705","Beutel"
"706","Bewahrer"
"707","Beweggrund"
"708","Bewegungsablauf"
"709","Beweis"
"710","Bewerber"
"711","Bewohner"
"712","Bewuchs"
"713","Bewunderer"
"714","Bezug"
"715","Biber"
"716","Bibliothekar"
"717","Biedersinn"
"718","Bien"
"719","Bienenstock"
"720","Bieter"
"721","Bikini"
"722","Bilderrahmen"
"723","Bildhauer"
"724","Bildschirm"
"725","Bildungsplan"
"726","Bildungspolitiker"
"727","Bildungsprozess"
"728","Bildungsweg"
"729","Binder"
"730","Bindfaden"
"731","Binnenhandel"
"732","Binnensee"
"733","Biograph"
"734","Biologe"
"735","Birnbaum"
"736","Bison"
"737","Biss"
"738","Bissen"
"739","Bittsteller"
"740","Blaeser"
"741","Blaetterteig"
"742","Blankoscheck"
"743","Blaubart"
"744","Blaufuchs"
"745","Blei"
"746","Bleistift"
"747","Blick"
"748","Blickfang"
"749","Blickpunkt"
"750","Blinddarm"
"751","Blindgaenger"
"752","Blitz"
"753","Blitzkrieg"
"754","Blitzschlag"
"755","Block"
"756","Bloedsinn"
"757","Bluetenstand"
"758","Bluetenstaub"
"759","Blumenkohl"
"760","Blumenstrauss"
"761","Blutdruck"
"762","Blutegel"
"763","Bluterguss"
"764","Blutfarbstoff"
"765","Bluthund"
"766","Blutkreislauf"
"767","Blutspender"
"768","Blutsturz"
"769","Blutverlust"
"770","Bob"
"771","Boche"
"772","Bock"
"773","Boden"
"774","Bodenfrost"
"775","Bodennebel"
"776","Boeller"
"777","Boersenkrach"
"778","Boersenkurs"
"779","Boersenmakler"
"780","Boersianer"
"781","Boesewicht"
"782","Boettcher"
"783","Bogen"
"784","Bogenschuetze"
"785","Bohnenkaffee"
"786","Bohner"
"787","Bohrer"
"788","Bolzen"
"789","Bombenangriff"
"790","Bomber"
"791","Bonze"
"792","Bootsbau"
"793","Bord"
"794","Borg"
"795","Boss"
"796","Botaniker"
"797","Bote"
"798","Bourgeois"
"799","Boxer"
"800","Boxkampf"
"801","Boxring"
"802","Boy"
"803","Braeutigam"
"804","Brand"
"805","Brandherd"
"806","Branntwein"
"807","Bratapfel"
"808","Braten"
"809","Bratenduft"
"810","Brathering"
"811","Bratspiess"
"812","Brauch"
"813","Braune"
"814","Braus"
"815","Brecher"
"816","Brei"
"817","Breitengrad"
"818","Breitling"
"819","Bremsklotz"
"820","Brenner"
"821","Brennstoff"
"822","Bretterzaun"
"823","Briefbogen"
"824","Briefkasten"
"825","Briefoeffner"
"826","Brieftraeger"
"827","Briefumschlag"
"828","Briefwechsel"
"829","Brigadier"
"830","Brillant"
"831","Bruch"
"832","Bruchteil"
"833","Bruder"
"834","Brueter"
"835","Brunn"
"836","Brunnen"
"837","Bub"
"838","Bube"
"839","Bubikopf"
"840","Buchbinder"
"841","Buchfink"
"842","Buchhalter"
"843","Buchhandel"
"844","Buchs"
"845","Buchstabe"
"846","Buchumschlag"
"847","Buchweizen"
"848","Buechsenoeffner"
"849","Bueckling"
"850","Buegel"
"851","Buerge"
"852","Buerger"
"853","Buergersteig"
"854","Buesser"
"855","Buestenhalter"
"856","Buettner"
"857","Bug"
"858","Buhler"
"859","Bulle"
"860","Bummel"
"861","Bummler"
"862","Bund"
"863","Bundespraesident"
"864","Bungalow"
"865","Buntspecht"
"866","Bursche"
"867","Bus"
"868","Busch"
"869","Busen"
"870","Busenfreund"
"871","Bussard"
"872","Butler"
"873","Campus"
"874","Cellist"
"875","Cello"
"876","Chauffeur"
"877","Chef"
"878","Choleriker"
"879","Chor"
"880","Choral"
"881","Christbaum"
"882","Christenmensch"
"883","Chronist"
"884","Code"
"885","Dachboden"
"886","Dachs"
"887","Daempfer"
"888","Daeumling"
"889","Damm"
"890","Dampf"
"891","Dampfer"
"892","Dank"
"893","Darm"
"894","Dauerauftrag"
"895","Daumen"
"896","Debitor"
"897","Defekt"
"898","Degen"
"899","Deich"
"900","Deist"
"901","Dekorateur"
"902","Delinquent"
"903","Demonstrant"
"904","Denkanstoss"
"905","Denker"
"906","Denkfehler"
"907","Denkzettel"
"908","Denunziant"
"909","Deserteur"
"910","Destillateur"
"911","Determinismus"
"912","Deuter"
"913","Deutschunterricht"
"914","Deutungsversuch"
"915","Dezimalbruch"
"916","Diabetiker"
"917","Dichter"
"918","Dickkopf"
"919","Dickschaedel"
"920","Didaktiker"
"921","Dieb"
"922","Diebstahl"
"923","Diener"
"924","Dienst"
"925","Dienstag"
"926","Dienstagabend"
"927","Dienstweg"
"928","Diesel"
"929","Dieselmotor"
"930","Diktator"
"931","Dilettantismus"
"932","Dill"
"933","Diplomat"
"934","Direktor"
"935","Dirigent"
"936","Diskussionsredner"
"937","Disponent"
"938","Disput"
"939","Docht"
"940","Dogmatiker"
"941","Dolchstoss"
"942","Dolmetsch"
"943","Dolmetscher"
"944","Dom"
"945","Donator"
"946","Donner"
"947","Donnerschlag"
"948","Donnerstag"
"949","Doppelgaenger"
"950","Doppelmord"
"951","Doppelpunkt"
"952","Dorn"
"953","Dorsch"
"954","Dotter"
"955","Dozent"
"956","Drache"
"957","Drachen"
"958","Draht"
"959","Drall"
"960","Drang"
"961","Draufgaenger"
"962","Dreck"
"963","Dreh"
"964","Dreher"
"965","Drehstuhl"
"966","Drill"
"967","Drohbrief"
"968","Druck"
"969","Druse"
"970","Dualismus"
"971","Duenger"
"972","Duenkel"
"973","Duenndarm"
"974","Duft"
"975","Dummkopf"
"976","Dung"
"977","Dunst"
"978","Durchblick"
"979","Durchbruch"
"980","Durchfall"
"981","Durchgang"
"982","Durchlass"
"983","Durchlauf"
"984","Durchmesser"
"985","Durchschlag"
"986","Durchschnitt"
"987","Durchschnittsmensch"
"988","Durchschnittswert"
